ID,Label,Service time,Age,Work load Average/day ,Hit target,Son,Pet,Weight,Height,Body mass index
WOR0002,0,18,50,239.554,97,1,0,98,178,31
WOR0003,2,18,38,239.554,97,0,0,89,170,31
WOR0005,2,13,33,239.554,97,2,1,90,172,30
WOR0006,2,18,38,239.554,97,0,0,89,170,31
WOR0007,8,3,28,239.554,97,1,4,80,172,27
WOR0009,>24,14,34,239.554,97,2,0,95,196,25
WOR0010,8,14,37,239.554,97,1,1,88,172,29
WOR0011,8,11,36,239.554,97,4,0,65,168,23
WOR0012,8,11,36,239.554,97,4,0,65,168,23
WOR0013,8,11,36,239.554,97,4,0,65,168,23
WOR0014,1,18,38,239.554,97,0,0,89,170,31
WOR0016,8,16,41,239.554,97,0,0,67,170,23
WOR0017,2,18,38,239.554,97,0,0,89,170,31
WOR0018,8,18,38,239.554,97,0,0,89,170,31
WOR0019,8,13,33,239.554,97,2,2,69,167,25
WOR0020,2,14,47,205.917,92,2,1,86,165,32
WOR0021,8,4,28,205.917,92,0,0,84,182,25
WOR0022,1,18,38,205.917,92,0,0,89,170,31
WOR0023,>24,3,28,205.917,92,1,4,80,172,27
WOR0025,8,13,33,205.917,92,2,1,90,172,30
WOR0027,1,13,33,205.917,92,2,1,90,172,30
WOR0029,8,13,33,205.917,92,2,1,90,172,30
WOR0030,2,18,38,205.917,92,0,0,89,170,31
WOR0031,8,18,38,205.917,92,0,0,89,170,31
WOR0032,8,12,48,205.917,92,1,5,88,163,33
WOR0034,8,12,48,205.917,92,1,5,88,163,33
WOR0035,2,18,38,205.917,92,0,0,89,170,31
WOR0036,1,3,28,205.917,92,1,4,80,172,27
WOR0037,8,13,33,205.917,92,2,1,90,172,30
WOR0039,8,12,48,205.917,92,1,5,88,163,33
WOR0041,2,7,27,241.476,92,0,0,58,167,21
WOR0044,8,13,43,241.476,92,1,0,106,167,38
WOR0045,2,14,34,241.476,92,2,0,95,196,25
WOR0046,3,10,37,241.476,92,0,0,83,172,28
WOR0047,3,18,38,241.476,92,0,0,89,170,31
WOR0049,8,11,36,241.476,92,4,0,65,168,23
WOR0050,>24,12,40,241.476,92,1,1,73,171,25
WOR0051,0,11,36,241.476,92,4,0,65,168,23
WOR0052,0,9,28,241.476,92,1,2,69,169,24
WOR0053,2,9,28,241.476,92,1,2,69,169,24
WOR0054,2,10,37,241.476,92,0,0,83,172,28
WOR0055,0,13,33,241.476,92,2,1,90,172,30
WOR0056,0,18,50,241.476,92,1,0,98,178,31
WOR0057,3,9,28,241.476,92,1,2,69,169,24
WOR0058,3,18,38,241.476,92,0,0,89,170,31
WOR0059,0,12,31,241.476,92,3,0,70,169,25
WOR0060,1,14,47,241.476,92,2,1,86,165,32
WOR0061,3,18,38,241.476,92,0,0,89,170,31
WOR0063,3,18,38,253.465,93,0,0,89,170,31
WOR0064,3,10,37,253.465,93,0,0,83,172,28
WOR0065,0,18,50,253.465,93,1,0,98,178,31
WOR0066,1,9,30,253.465,93,0,0,56,171,19
WOR0067,3,18,38,253.465,93,0,0,89,170,31
WOR0068,3,9,28,253.465,93,1,2,69,169,24
WOR0069,3,10,37,253.465,93,0,0,83,172,28
WOR0070,2,9,28,253.465,93,1,2,69,169,24
WOR0071,2,14,47,253.465,93,2,1,86,165,32
WOR0073,8,18,38,253.465,93,0,0,89,170,31
WOR0074,3,9,28,253.465,93,1,2,69,169,24
WOR0076,8,12,40,253.465,93,1,1,73,171,25
WOR0077,2,9,28,253.465,93,1,2,69,169,24
WOR0078,8,13,33,253.465,93,2,1,90,172,30
WOR0079,1,3,28,253.465,93,1,4,80,172,27
WOR0080,3,11,36,253.465,93,4,0,65,168,23
WOR0081,1,18,38,306.345,93,0,0,89,170,31
WOR0082,1,9,28,306.345,93,1,2,69,169,24
WOR0083,8,18,38,306.345,93,0,0,89,170,31
WOR0084,8,17,40,306.345,93,2,0,63,170,22
WOR0086,>24,14,34,306.345,93,2,0,95,196,25
WOR0087,8,13,33,306.345,93,2,2,69,167,25
WOR0088,>24,12,40,306.345,93,1,1,73,171,25
WOR0089,1,9,28,306.345,93,1,2,69,169,24
WOR0090,8,14,34,306.345,93,2,0,95,196,25
WOR0091,3,9,28,306.345,93,1,2,69,169,24
WOR0092,8,17,40,306.345,93,2,0,63,170,22
WOR0093,3,9,28,306.345,93,1,2,69,169,24
WOR0095,1,14,47,306.345,93,2,1,86,165,32
WOR0096,3,9,28,306.345,93,1,2,69,169,24
WOR0097,24,13,33,306.345,93,2,1,90,172,30
WOR0098,3,12,40,306.345,93,1,1,73,171,25
WOR0099,1,14,47,261.306,97,2,1,86,165,32
WOR0100,>24,10,37,261.306,97,0,0,83,172,28
WOR0101,2,18,50,261.306,97,1,0,98,178,31
WOR0102,8,14,37,261.306,97,1,1,88,172,29
WOR0103,2,9,28,261.306,97,1,2,69,169,24
WOR0104,8,11,36,261.306,97,4,0,65,168,23
WOR0105,>24,10,37,261.306,97,0,0,83,172,28
WOR0106,8,3,28,261.306,97,1,4,80,172,27
WOR0107,3,9,28,261.306,97,1,2,69,169,24
WOR0108,3,11,36,261.306,97,4,0,65,168,23
WOR0109,2,9,28,261.306,97,1,2,69,169,24
WOR0110,8,3,28,261.306,97,1,4,80,172,27
WOR0111,2,10,37,261.306,97,0,0,83,172,28
WOR0112,8,16,41,261.306,97,0,0,67,170,23
WOR0113,2,9,28,261.306,97,1,2,69,169,24
WOR0114,1,9,28,308.593,95,1,2,69,169,24
WOR0115,1,10,37,308.593,95,0,0,83,172,28
WOR0116,1,10,37,308.593,95,0,0,83,172,28
WOR0117,8,14,34,308.593,95,2,0,95,196,25
WOR0118,2,9,28,308.593,95,1,2,69,169,24
WOR0119,2,7,27,308.593,95,0,0,58,167,21
WOR0120,2,9,28,308.593,95,1,2,69,169,24
WOR0121,1,9,28,308.593,95,1,2,69,169,24
WOR0122,2,10,37,308.593,95,0,0,83,172,28
WOR0123,2,9,28,308.593,95,1,2,69,169,24
WOR0124,2,10,37,308.593,95,0,0,83,172,28
WOR0125,2,10,37,308.593,95,0,0,83,172,28
WOR0126,2,10,37,308.593,95,0,0,83,172,28
WOR0127,2,10,37,308.593,95,0,0,83,172,28
WOR0128,2,10,37,308.593,95,0,0,83,172,28
WOR0129,2,10,37,308.593,95,0,0,83,172,28
WOR0130,8,9,30,308.593,95,0,0,56,171,19
WOR0131,8,13,33,308.593,95,2,1,90,172,30
WOR0132,2,10,37,308.593,95,0,0,83,172,28
WOR0133,2,7,27,308.593,95,0,0,58,167,21
WOR0134,2,10,37,308.593,95,0,0,83,172,28
WOR0135,0,10,37,308.593,95,0,0,83,172,28
WOR0136,1,9,28,308.593,95,1,2,69,169,24
WOR0137,3,13,33,308.593,95,2,1,90,172,30
WOR0138,1,7,27,302.585,99,0,0,58,167,21
WOR0139,8,16,41,302.585,99,0,0,67,170,23
WOR0140,8,18,38,302.585,99,0,0,89,170,31
WOR0141,2,14,34,302.585,99,2,0,95,196,25
WOR0142,8,13,33,302.585,99,2,2,69,167,25
WOR0143,2,11,36,302.585,99,4,0,65,168,23
WOR0144,8,13,33,302.585,99,2,1,90,172,30
WOR0145,8,9,50,302.585,99,0,0,76,178,24
WOR0146,8,9,50,302.585,99,0,0,76,178,24
WOR0147,2,9,28,302.585,99,1,2,69,169,24
WOR0148,2,9,28,302.585,99,1,2,69,169,24
WOR0149,1,9,30,302.585,99,0,0,56,171,19
WOR0150,8,7,27,302.585,99,0,0,58,167,21
WOR0151,3,9,28,302.585,99,1,2,69,169,24
WOR0152,8,4,28,302.585,99,0,0,84,182,25
WOR0153,1,4,28,302.585,99,0,0,84,182,25
WOR0154,1,9,28,302.585,99,1,2,69,169,24
WOR0155,8,13,33,302.585,99,2,2,69,167,25
WOR0156,2,12,32,343.253,95,0,0,65,169,23
WOR0157,8,11,36,343.253,95,4,0,65,168,23
WOR0158,3,6,29,343.253,95,0,0,75,185,22
WOR0159,8,17,40,343.253,95,2,0,63,170,22
WOR0160,8,12,40,343.253,95,1,1,73,171,25
WOR0161,8,11,36,343.253,95,4,0,65,168,23
