ID,Label,Age,fnlwgt,Education-num,Capital-gain,Capital-loss,Hours-per-week
CLI0001,<=50K,31,142470,13,0,0,40
CLI0002,<=50K,31,323069,9,0,0,20
CLI0003,<=50K,25,122489,13,0,1726,60
CLI0004,<=50K,70,346053,9,0,0,40
CLI0005,>50K,39,176296,9,0,1887,40
CLI0006,<=50K,20,168863,10,0,0,20
CLI0007,<=50K,25,385646,9,0,0,40
CLI0008,<=50K,22,171176,9,0,0,48
CLI0009,<=50K,24,86745,13,0,0,40
CLI0010,<=50K,61,85194,10,0,0,25
CLI0011,>50K,44,136986,14,15024,0,35
CLI0012,<=50K,51,195638,10,0,0,40
CLI0013,>50K,43,270721,13,0,0,55
CLI0014,<=50K,58,113398,9,0,0,25
CLI0015,<=50K,17,169155,8,0,0,35
CLI0016,<=50K,57,130714,2,0,0,22
CLI0017,<=50K,21,296158,9,0,0,35
CLI0018,>50K,41,237321,2,0,0,40
CLI0019,<=50K,46,118419,9,0,0,38
CLI0020,<=50K,55,190514,4,0,0,75
CLI0021,<=50K,19,63434,10,0,0,35
CLI0022,>50K,50,92079,10,0,0,45
CLI0023,<=50K,40,274158,9,0,0,40
CLI0024,>50K,38,31033,13,7298,0,40
CLI0025,<=50K,46,130779,10,0,0,40
CLI0026,>50K,42,39060,9,0,0,60
CLI0027,<=50K,37,359131,9,0,0,48
CLI0028,<=50K,21,304302,9,0,0,40
CLI0029,<=50K,55,101338,6,0,0,40
CLI0030,<=50K,27,189777,9,0,0,40
CLI0031,<=50K,28,107411,13,0,0,35
CLI0032,<=50K,36,143068,10,0,0,40
CLI0033,<=50K,36,169037,9,0,0,40
CLI0034,>50K,34,204375,15,0,0,60
CLI0035,<=50K,30,103596,9,0,0,99
CLI0036,>50K,37,98389,9,0,0,50
CLI0037,>50K,45,102771,13,0,0,40
CLI0038,<=50K,22,43535,10,0,0,40
CLI0039,<=50K,40,120277,10,0,0,40
CLI0040,<=50K,25,292058,9,0,0,30
CLI0041,>50K,43,161240,9,0,0,45
CLI0042,<=50K,18,192583,10,0,0,30
CLI0043,<=50K,22,236907,10,0,0,20
CLI0044,>50K,44,344060,15,0,0,40
CLI0045,<=50K,33,33727,14,0,0,40
CLI0046,<=50K,19,263932,9,0,0,20
CLI0047,<=50K,41,173682,14,0,0,40
CLI0048,>50K,58,349910,9,7688,0,40
CLI0049,<=50K,18,71792,9,0,0,40
CLI0050,<=50K,22,227626,9,0,0,40
CLI0051,<=50K,55,89182,8,0,0,40
CLI0052,<=50K,42,55764,12,0,0,40
CLI0053,<=50K,26,147982,7,0,0,40
CLI0054,<=50K,26,236242,15,0,0,30
CLI0055,<=50K,18,347336,8,0,0,12
CLI0056,<=50K,19,242001,10,0,0,40
CLI0057,<=50K,41,190885,9,0,0,40
CLI0058,<=50K,49,99179,13,0,0,40
CLI0059,>50K,48,36503,10,0,0,40
CLI0060,<=50K,43,96129,7,0,0,60
CLI0061,<=50K,49,151107,9,0,0,40
CLI0062,<=50K,29,142519,9,0,0,40
CLI0063,<=50K,41,107327,11,0,0,40
CLI0064,<=50K,20,333505,9,0,0,30
CLI0065,<=50K,34,113543,14,0,0,40
CLI0066,<=50K,24,122234,10,0,0,20
CLI0067,<=50K,27,203776,9,0,0,50
CLI0068,<=50K,38,241765,7,0,0,60
CLI0069,>50K,53,123429,10,0,0,60
CLI0070,<=50K,30,164190,9,0,0,38
CLI0071,>50K,48,125892,13,0,0,40
CLI0072,<=50K,22,410439,9,0,0,55
CLI0073,>50K,42,203393,13,0,0,35
CLI0074,>50K,33,118941,13,0,0,32
CLI0075,<=50K,40,143327,10,0,0,40
CLI0076,<=50K,19,164585,9,0,0,40
CLI0077,<=50K,48,330470,10,0,0,30
CLI0078,<=50K,52,173987,6,0,0,40
CLI0079,<=50K,43,255635,3,0,0,40
CLI0080,<=50K,58,183870,6,0,0,40
CLI0081,<=50K,35,199288,7,0,0,90
CLI0082,<=50K,20,133515,10,0,0,15
CLI0083,>50K,46,230979,13,4787,0,25
CLI0084,<=50K,20,189203,12,0,0,20
CLI0085,<=50K,43,193494,6,0,0,40
CLI0086,<=50K,23,96748,10,0,0,10
CLI0087,<=50K,20,266467,9,0,0,25
CLI0088,<=50K,57,70720,9,0,0,78
CLI0089,<=50K,30,89735,9,0,1504,40
CLI0090,<=50K,25,222539,6,2597,0,50
CLI0091,<=50K,19,225775,10,0,0,45
CLI0092,>50K,57,403625,10,0,0,60
CLI0093,>50K,53,174102,4,4386,0,50
CLI0094,<=50K,19,63918,10,0,0,40
CLI0095,<=50K,28,70100,13,0,0,20
CLI0096,<=50K,24,449432,8,0,0,40
CLI0097,<=50K,27,113054,9,0,0,43
CLI0098,<=50K,25,410240,9,0,0,40
CLI0099,<=50K,21,451996,9,0,0,40
CLI0100,<=50K,19,307496,10,0,0,23
CLI0101,<=50K,34,226883,9,0,0,40
CLI0102,<=50K,33,167309,13,0,0,40
CLI0103,<=50K,27,47907,13,0,0,40
CLI0104,>50K,50,22211,14,7688,0,50
CLI0105,<=50K,30,267161,10,0,0,45
CLI0106,>50K,40,346532,10,0,0,40
CLI0107,<=50K,18,272918,9,0,0,15
CLI0108,<=50K,55,123515,9,0,0,40
CLI0109,<=50K,39,235379,12,0,0,40
CLI0110,<=50K,27,216013,9,0,0,40
