ID,Label,Workclass,Education,Marital-status,Occupation,Relationship,Race,Sex,Native-country
CLI0001,<=50K,Federal-gov,Bachelors,Never-married,Exec-managerial,Not-in-family,Black,Female,United-States
CLI0002,<=50K,Private,HS-grad,Separated,Adm-clerical,Unmarried,White,Female,?
CLI0003,<=50K,Private,Bachelors,Never-married,Exec-managerial,Own-child,White,Female,United-States
CLI0004,<=50K,?,HS-grad,Married-civ-spouse,?,Husband,White,Male,United-States
CLI0005,>50K,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Black,Male,United-States
CLI0006,<=50K,?,Some-college,Never-married,?,Own-child,White,Female,United-States
CLI0007,<=50K,Private,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,United-States
CLI0008,<=50K,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,?
CLI0009,<=50K,Private,Bachelors,Married-civ-spouse,Prof-specialty,Other-relative,Asian-Pac-Islander,Female,Philippines
CLI0010,<=50K,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,United-States
CLI0011,>50K,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
CLI0012,<=50K,Self-emp-inc,Some-college,Separated,Sales,Not-in-family,White,Female,United-States
CLI0013,>50K,State-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
CLI0014,<=50K,Private,HS-grad,Never-married,Other-service,Other-relative,White,Male,United-States
CLI0015,<=50K,Private,12th,Never-married,Other-service,Own-child,White,Male,United-States
CLI0016,<=50K,Private,1st-4th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States
CLI0017,<=50K,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,United-States
CLI0018,>50K,Private,1st-4th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Mexico
CLI0019,<=50K,Private,HS-grad,Divorced,Machine-op-inspct,Unmarried,White,Male,United-States
CLI0020,<=50K,Private,7th-8th,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States
CLI0021,<=50K,Private,Some-college,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States
CLI0022,>50K,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,United-States
CLI0023,<=50K,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States
CLI0024,>50K,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States
CLI0025,<=50K,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States
CLI0026,>50K,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,United-States
CLI0027,<=50K,Private,HS-grad,Divorced,Craft-repair,Unmarried,White,Female,United-States
CLI0028,<=50K,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Male,United-States
CLI0029,<=50K,Private,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
CLI0030,<=50K,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
CLI0031,<=50K,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,United-States
CLI0032,<=50K,Private,Some-college,Divorced,Craft-repair,Unmarried,White,Male,United-States
CLI0033,<=50K,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,United-States
CLI0034,>50K,Self-emp-not-inc,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Female,United-States
CLI0035,<=50K,Private,HS-grad,Never-married,Protective-serv,Not-in-family,White,Male,United-States
CLI0036,>50K,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
CLI0037,>50K,Self-emp-not-inc,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States
CLI0038,<=50K,Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States
CLI0039,<=50K,Private,Some-college,Never-married,Sales,Not-in-family,White,Male,United-States
CLI0040,<=50K,Private,HS-grad,Never-married,Other-service,Other-relative,White,Male,United-States
CLI0041,>50K,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States
CLI0042,<=50K,Private,Some-college,Never-married,Sales,Not-in-family,White,Female,United-States
CLI0043,<=50K,Private,Some-college,Never-married,Handlers-cleaners,Own-child,White,Male,United-States
CLI0044,>50K,Federal-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
CLI0045,<=50K,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States
CLI0046,<=50K,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,United-States
CLI0047,<=50K,Private,Masters,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States
CLI0048,>50K,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
CLI0049,<=50K,Private,HS-grad,Never-married,Sales,Own-child,Asian-Pac-Islander,Female,United-States
CLI0050,<=50K,Private,HS-grad,Divorced,Transport-moving,Not-in-family,White,Male,United-States
CLI0051,<=50K,Private,12th,Divorced,Machine-op-inspct,Not-in-family,White,Female,Italy
CLI0052,<=50K,State-gov,Assoc-acdm,Divorced,Prof-specialty,Not-in-family,Black,Male,United-States
CLI0053,<=50K,Private,11th,Divorced,Craft-repair,Not-in-family,White,Female,United-States
CLI0054,<=50K,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Female,United-States
CLI0055,<=50K,Private,12th,Never-married,Other-service,Own-child,White,Male,United-States
CLI0056,<=50K,?,Some-college,Never-married,?,Own-child,White,Female,United-States
CLI0057,<=50K,Private,HS-grad,Divorced,Priv-house-serv,Not-in-family,White,Female,Guatemala
CLI0058,<=50K,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,United-States
CLI0059,>50K,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
CLI0060,<=50K,Self-emp-not-inc,11th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States
CLI0061,<=50K,Private,HS-grad,Never-married,Craft-repair,Not-in-family,Black,Male,United-States
CLI0062,<=50K,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,United-States
CLI0063,<=50K,Local-gov,Assoc-voc,Divorced,Prof-specialty,Unmarried,White,Female,United-States
CLI0064,<=50K,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Male,Nicaragua
CLI0065,<=50K,Private,Masters,Never-married,Exec-managerial,Own-child,White,Male,United-States
CLI0066,<=50K,Private,Some-college,Never-married,Adm-clerical,Not-in-family,Black,Female,?
CLI0067,<=50K,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
CLI0068,<=50K,Private,11th,Divorced,Handlers-cleaners,Not-in-family,White,Female,United-States
CLI0069,>50K,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
CLI0070,<=50K,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Male,?
CLI0071,>50K,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,United-States
CLI0072,<=50K,Private,HS-grad,Married-spouse-absent,Sales,Not-in-family,White,Male,United-States
CLI0073,>50K,Private,Bachelors,Married-civ-spouse,Craft-repair,Wife,Black,Female,United-States
CLI0074,>50K,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States
CLI0075,<=50K,Private,Some-college,Separated,Handlers-cleaners,Not-in-family,White,Male,United-States
CLI0076,<=50K,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Female,United-States
CLI0077,<=50K,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States
CLI0078,<=50K,Private,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
CLI0079,<=50K,Private,5th-6th,Married-civ-spouse,Machine-op-inspct,Husband,Other,Male,Mexico
CLI0080,<=50K,Self-emp-inc,10th,Married-civ-spouse,Transport-moving,Wife,White,Female,United-States
CLI0081,<=50K,Private,11th,Separated,Transport-moving,Not-in-family,White,Male,United-States
CLI0082,<=50K,?,Some-college,Never-married,?,Own-child,White,Female,France
